운행일자,상행하행구분코드,열차종별코드,운행구분코드,시발역코드,열차시발시각,종착역코드,열차종착시각,열차속성코드,주운행성코드,요일
2020-03-05,상,무궁화,부정기,연무대,09:10:00,춘천,15:08:00,건설,호남선,목요일
2020-03-05,하,무궁화,부정기,연무대,09:47:00,장성,11:10:00,건설,호남선,목요일
2020-03-12,상,무궁화,부정기,연무대,09:10:00,춘천,15:08:00,건설,호남선,목요일
2020-03-12,하,무궁화,부정기,연무대,09:47:00,장성,11:10:00,건설,호남선,목요일
2020-03-19,하,무궁화,부정기,연무대,09:10:00,춘천,15:08:00,건설,호남선,목요일
2020-03-19,하,무궁화,부정기,연무대,09:47:00,장성,11:10:00,건설,호남선,목요일
2020-03-26,상,무궁화,부정기,연무대,09:10:00,춘천,15:08:00,건설,호남선,목요일
2020-03-26,하,무궁화,부정기,연무대,09:47:00,장성,11:10:00,건설,호남선,목요일
2020-04-02,상,무궁화,부정기,연무대,09:10:00,춘천,15:08:00,건설,호남선,목요일
2020-04-02,하,무궁화,부정기,연무대,09:47:00,장성,11:10:00,건설,호남선,목요일
2020-04-09,하,무궁화,부정기,연무대,09:10:00,춘천,15:08:00,건설,호남선,목요일
2020-04-09,하,무궁화,부정기,연무대,09:47:00,장성,11:10:00,건설,호남선,목요일
2020-04-16,상,무궁화,부정기,연무대,09:10:00,춘천,15:08:00,건설,호남선,목요일
2020-04-16,하,무궁화,부정기,연무대,09:47:00,장성,11:10:00,건설,호남선,목요일
2020-04-23,하,무궁화,부정기,연무대,09:10:00,춘천,15:08:00,건설,호남선,목요일
2020-04-23,하,무궁화,부정기,연무대,09:47:00,장성,11:10:00,건설,호남선,목요일
2020-04-29,상,무궁화,부정기,연무대,09:10:00,춘천,15:08:00,건설,호남선,수요일
2020-04-30,상,무궁화,부정기,연무대,09:10:00,춘천,14:49:00,건설,호남선,목요일
2020-04-30,하,무궁화,부정기,연무대,09:47:00,장성,11:10:00,건설,호남선,목요일
2020-05-07,하,무궁화,부정기,연무대,09:10:00,춘천,15:08:00,건설,호남선,목요일
